Volume,Inks
2.70534697481e-05,"['20rednan', '36yellowEpson', '41cyanEpson', '42magentaEpson']"
2.68349951661e-05,"['9cyanCanon', '20rednan', '33yellowEpson', '42magentaEpson']"
2.68289752943e-05,"['9cyanCanon', '20rednan', '36yellowEpson', '42magentaEpson']"
2.66950324695e-05,"['20rednan', '30greenEpson', '36yellowEpson', '42magentaEpson']"
2.63901091894e-05,"['20rednan', '33yellowEpson', '41cyanEpson', '42magentaEpson']"
2.63286788179e-05,"['9cyanCanon', '13magentapigment - water-resistant', '36yellowEpson', '39light magentaEpson']"
2.63010752543e-05,"['9cyanCanon', '16yellowpigment - water-resistant', '20rednan', '42magentaEpson']"
2.62585014987e-05,"['9cyanCanon', '20rednan', '35yellowCanon', '42magentaEpson']"
2.6239311767e-05,"['9cyanCanon', '13magentapigment - water-resistant', '16yellowpigment - water-resistant', '42magentaEpson']"
2.60153274107e-05,"['20rednan', '35yellowCanon', '41cyanEpson', '42magentaEpson']"
2.58294345991e-05,"['13magentapigment - water-resistant', '36yellowEpson', '41cyanEpson', '42magentaEpson']"
2.57486777913e-05,"['9cyanCanon', '13magentapigment - water-resistant', '36yellowEpson', '42magentaEpson']"
2.56667120449e-05,"['9cyanCanon', '20rednan', '36yellowEpson', '39light magentaEpson']"
2.56395494491e-05,"['13magentapigment - water-resistant', '30greenEpson', '36yellowEpson', '42magentaEpson']"
2.55003391707e-05,"['13magentapigment - water-resistant', '30greenEpson', '36yellowEpson', '39light magentaEpson']"
2.54711091752e-05,"['9cyanCanon', '13magentapigment - water-resistant', '33yellowEpson', '42magentaEpson']"
2.52944556176e-05,"['16yellowpigment - water-resistant', '20rednan', '41cyanEpson', '42magentaEpson']"
2.52711472643e-05,"['13magentapigment - water-resistant', '36yellowEpson', '39light magentaEpson', '41cyanEpson']"
2.51265833986e-05,"['9cyanCanon', '13magentapigment - water-resistant', '16yellowpigment - water-resistant', '39light magentaEpson']"
2.51184754869e-05,"['1magentaEpson', '9cyanCanon', '36yellowEpson', '39light magentaEpson']"
2.5117131191e-05,"['16yellowpigment - water-resistant', '20rednan', '30greenEpson', '42magentaEpson']"
