Volume,Inks
3.45879705899e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'H Bleu Azur0.5106806760.636918247', 'Kaweco green0.04393515740.0426193513']"
3.3223917856e-05,"['Lamy red0.3185556230.394874483', 'H Bleu Azur0.5106806760.636918247', 'Kaweco green0.04393515740.0426193513', 'Platinum violet0.3862266540.463573724']"
3.29927517461e-05,"['Iwi frost descent0.1077070610.105629526', 'Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'H Bleu Azur0.5106806760.636918247']"
3.29250066737e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'O blue iris0.419206470.58768481', 'KWZ turquoise 0.1805804220.160459518']"
3.2490466502e-05,"['Lamy red0.3185556230.394874483', 'H Bleu Azur0.5106806760.636918247', 'Rose cyclamen H0.3078682120.344650418', 'Kaweco green0.04393515740.0426193513']"
3.21913974846e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'O blue iris0.419206470.58768481', 'Mv Caribbean 0.2212766260.22019729']"
3.20309059295e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'Pw denneweg groen 0.2931700650.338017762', 'H Bleu Azur0.5106806760.636918247']"
3.19777934995e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'Vd parrot fish0.3563603460.422013313', 'Kaweco green0.04393515740.0426193513']"
3.19441831576e-05,"['Iwi frost descent0.1077070610.105629526', 'Lamy red0.3185556230.394874483', 'H Bleu Azur0.5106806760.636918247', 'Platinum violet0.3862266540.463573724']"
3.179149424e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'Mg turquoise0.2829258440.310881257', 'Platinum violet0.3862266540.463573724']"
3.17780602145e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'Kaweco green0.04393515740.0426193513', 'Colorberse 7 clear cyan0.4473693970.585861981']"
3.16148550232e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'Mg sapphire0.1194242240.106027357', 'H Bleu Azur0.5106806760.636918247']"
3.14785722663e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'H Bleu Azur0.5106806760.636918247', 'Inkbara cyan0.2017007770.208343148']"
3.14067232485e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'KWZ turquoise 0.1805804220.160459518', 'H Bleu Azur0.5106806760.636918247']"
3.13713970004e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'FWP blue cotton candy0.4129520650.567712903', 'Kaweco green0.04393515740.0426193513']"
3.13296609248e-05,"['Lamy red0.3185556230.394874483', 'Vd parrot fish0.3563603460.422013313', 'Kaweco green0.04393515740.0426193513', 'Platinum violet0.3862266540.463573724']"
3.13231265789e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Lamy red0.3185556230.394874483', 'FWP Three Steamboats0.3934220670.472907305', 'Kaweco green0.04393515740.0426193513']"
3.1233295426e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'Pw denneweg groen 0.2931700650.338017762', 'O blue iris0.419206470.58768481']"
3.11817131218e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'Mg turquoise0.2829258440.310881257', 'O blue iris0.419206470.58768481']"
3.11020102037e-05,"['Lamy crystal beryl0.3172305520.38562575', 'Pw denneweg groen 0.2931700650.338017762', 'H Bleu Azur0.5106806760.636918247', 'Peach haze D0.1002408790.106591292']"
3.10750180905e-05,"['Lamy red0.3185556230.394874483', 'Mg sapphire0.1194242240.106027357', 'H Bleu Azur0.5106806760.636918247', 'Platinum violet0.3862266540.463573724']"
3.10619732055e-05,"['Lamy crystal beryl0.3172305520.38562575', 'H Bleu Azur0.5106806760.636918247', 'Peach haze D0.1002408790.106591292', 'Kaweco green0.04393515740.0426193513']"
3.10511090418e-05,"['Iwi frost descent0.1077070610.105629526', 'Lamy red0.3185556230.394874483', 'H Bleu Azur0.5106806760.636918247', 'Rose cyclamen H0.3078682120.344650418']"
3.10395406738e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'O cherry blossom0.4046063720.566762865', 'KWZ turquoise 0.1805804220.160459518']"
3.09577664254e-05,"['V karol 0.04918261990.0568519942', 'Mg turquoise0.2829258440.310881257', 'Noodlers Firefly0.09293186660.105642691', 'Dragon catfish N0.4158996640.528320014']"
3.09246029849e-05,"['V karol 0.04918261990.0568519942', 'Mg turquoise0.2829258440.310881257', 'Peach haze D0.1002408790.106591292', 'Platinum Violet20.3747718040.517571867']"
3.08329419183e-05,"['V karol 0.04918261990.0568519942', 'Lamy red0.3185556230.394874483', 'Mg turquoise0.2829258440.310881257', 'Platinum Violet20.3747718040.517571867']"
3.08236638809e-05,"['Lamy crystal beryl0.3172305520.38562575', 'H Bleu Azur0.5106806760.636918247', 'Peach haze D0.1002408790.106591292', 'Inkbara cyan0.2017007770.208343148']"
